PRODUTO,COR_PRODUTO,ID_CAMPANHA,STATUS_INTEGRACAO,DETALHE_INTEGRACAO
375211,07836,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
375351,07843,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
375361,0013,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
375361,05024,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
375361,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
375361,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
375470,0013,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
367234,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
367234,07748,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
367846,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
367847,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
368530,10066,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
368531,10066,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371830,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371830,09269,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371832,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371833,0013,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371833,05052,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371834,04097,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371834,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371846,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371848,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371848,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371850,7122,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371860,0013,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371863,05024,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371863,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371868,0013,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371868,05024,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371868,07836,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371880,0013,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371880,05024,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
371880,07836,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372004,59467,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372005,59467,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372006,59467,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372014,61665,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372015,61665,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372017,59547,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372018,59547,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372032,59602,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372033,59602,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372042,59614,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372046,59554,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372073,59557,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372087,59557,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372093,59481,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372094,59481,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372096,59593,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372097,59591,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372098,59593,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372099,59593,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372104,59548,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372249,59474,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372250,59481,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372251,59481,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372256,59670,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372279,59473,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372280,59476,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372287,59498,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372302,59709,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372307,59498,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372308,59721,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372309,59721,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372368,59548,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372370,59547,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372373,59498,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372374,59576,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372397,59574,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372429,59591,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372430,59537,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372431,59548,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372432,59548,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372433,59547,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372438,59516,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372439,59498,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372440,59498,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372441,59498,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372442,59498,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372446,59534,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372447,59560,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372451,59535,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372471,59533,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372472,59533,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372474,59536,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372475,59587,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372476,59587,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372477,59587,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372478,59587,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372479,59525,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372480,59497,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372481,59497,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372526,59555,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372527,59555,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372536,59592,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372537,59479,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372539,59479,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372540,59479,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372541,59479,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372557,59499,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372558,59499,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372666,59574,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372669,59474,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372697,59500,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372698,59500,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372699,59500,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372704,59594,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372706,59594,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372707,59594,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372714,59612,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372715,59612,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372716,59612,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372717,59612,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372718,59612,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372719,59612,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
