ID_CAMPANHA,LIBERAR_GRADE_WEB,PRODUTO,COR_PRODUTO,ESTOQUE,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,R_PRODUTO,R_ESTOQUE,R_ES1,R_ES2,R_ES3,R_ES4,R_ES5,R_ES6,R_ES7,R_ES8,R_ES9,R_ES10,R_ES11,R_ES12,R_ES13,R_ES14,R_ES15,R_ES16,status
99,0,372093,59481,82,15,28,19,12,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372094,59481,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372096,59593,31,6,10,7,5,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372097,59591,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372098,59593,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372099,59593,23,4,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372104,59548,75,14,25,17,11,8,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372249,59474,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372250,59481,83,15,28,19,12,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,372251,59481,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
