PRODUTO,COR_PRODUTO,ID_CAMPANHA,DT_EXCLUSAO,motivo
372376      ,59539     ,54,,FORA_DA_PLANILHA
372379      ,59520     ,54,,FORA_DA_PLANILHA
372380      ,59545     ,54,,FORA_DA_PLANILHA
372381      ,59569     ,54,,FORA_DA_PLANILHA
372383      ,59485     ,54,,FORA_DA_PLANILHA
372384      ,59571     ,54,,FORA_DA_PLANILHA
372385      ,61669     ,54,,FORA_DA_PLANILHA
372386      ,59536     ,54,,FORA_DA_PLANILHA
372388      ,59590     ,54,,FORA_DA_PLANILHA
372389      ,59610     ,54,,FORA_DA_PLANILHA
372390      ,59609     ,54,,FORA_DA_PLANILHA
372391      ,61668     ,54,,FORA_DA_PLANILHA
372392      ,59606     ,54,,FORA_DA_PLANILHA
372394      ,59477     ,54,,FORA_DA_PLANILHA
372395      ,59477     ,54,,FORA_DA_PLANILHA
372396      ,59462     ,54,,FORA_DA_PLANILHA
372400      ,59478     ,54,,FORA_DA_PLANILHA
372401      ,59478     ,54,,FORA_DA_PLANILHA
372402      ,59595     ,54,,FORA_DA_PLANILHA
372403      ,59595     ,54,,FORA_DA_PLANILHA
372404      ,59595     ,54,,FORA_DA_PLANILHA
372419      ,59613     ,54,,FORA_DA_PLANILHA
372420      ,59613     ,54,,FORA_DA_PLANILHA
372422      ,59570     ,54,,FORA_DA_PLANILHA
372423      ,59480     ,54,,FORA_DA_PLANILHA
372424      ,59480     ,54,,FORA_DA_PLANILHA
372425      ,59593     ,54,,FORA_DA_PLANILHA
372434      ,59476     ,54,,FORA_DA_PLANILHA
372435      ,59476     ,54,,FORA_DA_PLANILHA
372436      ,59516     ,54,,FORA_DA_PLANILHA
372437      ,59516     ,54,,FORA_DA_PLANILHA
372443      ,59604     ,54,,FORA_DA_PLANILHA
372444      ,59512     ,54,,FORA_DA_PLANILHA
372448      ,59581     ,54,,FORA_DA_PLANILHA
372449      ,59522     ,54,,FORA_DA_PLANILHA
372450      ,59581     ,54,,FORA_DA_PLANILHA
372452      ,59535     ,54,,FORA_DA_PLANILHA
372453      ,59569     ,54,,FORA_DA_PLANILHA
372454      ,59569     ,54,,FORA_DA_PLANILHA
372455      ,59569     ,54,,FORA_DA_PLANILHA
372456      ,59569     ,54,,FORA_DA_PLANILHA
372457      ,59569     ,54,,FORA_DA_PLANILHA
372458      ,59485     ,54,,FORA_DA_PLANILHA
372459      ,59542     ,54,,FORA_DA_PLANILHA
372460      ,59542     ,54,,FORA_DA_PLANILHA
372461      ,59542     ,54,,FORA_DA_PLANILHA
372462      ,59606     ,54,,FORA_DA_PLANILHA
372463      ,59606     ,54,,FORA_DA_PLANILHA
372464      ,59571     ,54,,FORA_DA_PLANILHA
372465      ,59571     ,54,,FORA_DA_PLANILHA
372466      ,59571     ,54,,FORA_DA_PLANILHA
372467      ,59572     ,54,,FORA_DA_PLANILHA
372468      ,59572     ,54,,FORA_DA_PLANILHA
372469      ,59590     ,54,,FORA_DA_PLANILHA
372470      ,59590     ,54,,FORA_DA_PLANILHA
372473      ,59536     ,54,,FORA_DA_PLANILHA
372482      ,59497     ,54,,FORA_DA_PLANILHA
372486      ,59582     ,54,,FORA_DA_PLANILHA
372487      ,59582     ,54,,FORA_DA_PLANILHA
372490      ,59549     ,54,,FORA_DA_PLANILHA
372504      ,59515     ,54,,FORA_DA_PLANILHA
372507      ,59516     ,54,,FORA_DA_PLANILHA
372510      ,59531     ,54,,FORA_DA_PLANILHA
372511      ,59531     ,54,,FORA_DA_PLANILHA
372514      ,59507     ,54,,FORA_DA_PLANILHA
372516      ,59486     ,54,,FORA_DA_PLANILHA
372517      ,59486     ,54,,FORA_DA_PLANILHA
372518      ,59486     ,54,,FORA_DA_PLANILHA
372533      ,59592     ,54,,FORA_DA_PLANILHA
372535      ,59592     ,54,,FORA_DA_PLANILHA
372542      ,59482     ,54,,FORA_DA_PLANILHA
372543      ,59482     ,54,,FORA_DA_PLANILHA
372544      ,59482     ,54,,FORA_DA_PLANILHA
372545      ,59482     ,54,,FORA_DA_PLANILHA
372546      ,59482     ,54,,FORA_DA_PLANILHA
372555      ,59499     ,54,,FORA_DA_PLANILHA
372602      ,59604     ,54,,FORA_DA_PLANILHA
372618      ,59549     ,54,,FORA_DA_PLANILHA
372621      ,59540     ,54,,FORA_DA_PLANILHA
372622      ,59485     ,54,,FORA_DA_PLANILHA
372623      ,59485     ,54,,FORA_DA_PLANILHA
372624      ,59540     ,54,,FORA_DA_PLANILHA
372626      ,59540     ,54,,FORA_DA_PLANILHA
372627      ,59540     ,54,,FORA_DA_PLANILHA
372662      ,59574     ,54,,FORA_DA_PLANILHA
372671      ,59661     ,54,,FORA_DA_PLANILHA
372684      ,59617     ,54,,FORA_DA_PLANILHA
372685      ,59461     ,54,,FORA_DA_PLANILHA
372686      ,59461     ,54,,FORA_DA_PLANILHA
372689      ,59617     ,54,,FORA_DA_PLANILHA
372690      ,59461     ,54,,FORA_DA_PLANILHA
372691      ,59461     ,54,,FORA_DA_PLANILHA
372692      ,59563     ,54,,FORA_DA_PLANILHA
372693      ,59563     ,54,,FORA_DA_PLANILHA
372694      ,59563     ,54,,FORA_DA_PLANILHA
372695      ,59563     ,54,,FORA_DA_PLANILHA
372696      ,59500     ,54,,FORA_DA_PLANILHA
372700      ,61926     ,54,,FORA_DA_PLANILHA
372702      ,61926     ,54,,FORA_DA_PLANILHA
372703      ,61926     ,54,,FORA_DA_PLANILHA
372728      ,59513     ,54,,FORA_DA_PLANILHA
372730      ,59513     ,54,,FORA_DA_PLANILHA
372731      ,59513     ,54,,FORA_DA_PLANILHA
372739      ,59511     ,54,,FORA_DA_PLANILHA
372745      ,60594     ,54,,FORA_DA_PLANILHA
372746      ,60594     ,54,,FORA_DA_PLANILHA
372757      ,59579     ,54,,FORA_DA_PLANILHA
372758      ,59579     ,54,,FORA_DA_PLANILHA
372759      ,59579     ,54,,FORA_DA_PLANILHA
372760      ,59579     ,54,,FORA_DA_PLANILHA
372810      ,59578     ,54,,FORA_DA_PLANILHA
372816      ,59517     ,54,,FORA_DA_PLANILHA
372822      ,59550     ,54,,FORA_DA_PLANILHA
372823      ,0013      ,54,,FORA_DA_PLANILHA
372823      ,07742     ,54,,FORA_DA_PLANILHA
372825      ,0013      ,54,,FORA_DA_PLANILHA
372825      ,05024     ,54,,FORA_DA_PLANILHA
372826      ,0013      ,54,,FORA_DA_PLANILHA
372850      ,0013      ,54,,FORA_DA_PLANILHA
372850      ,05024     ,54,,FORA_DA_PLANILHA
372850      ,07742     ,54,,FORA_DA_PLANILHA
372854      ,0013      ,54,,FORA_DA_PLANILHA
372854      ,07448     ,54,,FORA_DA_PLANILHA
372970      ,59480     ,54,,FORA_DA_PLANILHA
372976      ,59569     ,54,,FORA_DA_PLANILHA
372978      ,59544     ,54,,FORA_DA_PLANILHA
372979      ,59544     ,54,,FORA_DA_PLANILHA
372980      ,59544     ,54,,FORA_DA_PLANILHA
372983      ,59610     ,54,,FORA_DA_PLANILHA
372984      ,59610     ,54,,FORA_DA_PLANILHA
372985      ,59610     ,54,,FORA_DA_PLANILHA
372991      ,59575     ,54,,FORA_DA_PLANILHA
372992      ,59571     ,54,,FORA_DA_PLANILHA
372993      ,59571     ,54,,FORA_DA_PLANILHA
372994      ,61670     ,54,,FORA_DA_PLANILHA
372995      ,61670     ,54,,FORA_DA_PLANILHA
372996      ,59571     ,54,,FORA_DA_PLANILHA
373009      ,60591     ,54,,FORA_DA_PLANILHA
373026      ,59604     ,54,,FORA_DA_PLANILHA
373031      ,59517     ,54,,FORA_DA_PLANILHA
373051      ,59478     ,54,,FORA_DA_PLANILHA
373052      ,59478     ,54,,FORA_DA_PLANILHA
373057      ,59462     ,54,,FORA_DA_PLANILHA
373058      ,59462     ,54,,FORA_DA_PLANILHA
373059      ,59462     ,54,,FORA_DA_PLANILHA
373060      ,59462     ,54,,FORA_DA_PLANILHA
373061      ,59606     ,54,,FORA_DA_PLANILHA
373063      ,59606     ,54,,FORA_DA_PLANILHA
373064      ,59605     ,54,,FORA_DA_PLANILHA
373065      ,59605     ,54,,FORA_DA_PLANILHA
373066      ,59605     ,54,,FORA_DA_PLANILHA
373068      ,59605     ,54,,FORA_DA_PLANILHA
373076      ,59522     ,54,,FORA_DA_PLANILHA
373077      ,59522     ,54,,FORA_DA_PLANILHA
373082      ,59504     ,54,,FORA_DA_PLANILHA
373095      ,59599     ,54,,FORA_DA_PLANILHA
373101      ,59600     ,54,,FORA_DA_PLANILHA
373112      ,59463     ,54,,FORA_DA_PLANILHA
373145      ,59505     ,54,,FORA_DA_PLANILHA
373146      ,61664     ,54,,FORA_DA_PLANILHA
373157      ,59520     ,54,,FORA_DA_PLANILHA
373158      ,59522     ,54,,FORA_DA_PLANILHA
373163      ,59581     ,54,,FORA_DA_PLANILHA
373167      ,59613     ,54,,FORA_DA_PLANILHA
373168      ,59613     ,54,,FORA_DA_PLANILHA
373173      ,59552     ,54,,FORA_DA_PLANILHA
373203      ,2276      ,54,,FORA_DA_PLANILHA
373206      ,0105      ,54,,FORA_DA_PLANILHA
373207      ,0105      ,54,,FORA_DA_PLANILHA
373218      ,2276      ,54,,FORA_DA_PLANILHA
373236      ,2276      ,54,,FORA_DA_PLANILHA
373277      ,59554     ,54,,FORA_DA_PLANILHA
373359      ,59541     ,54,,FORA_DA_PLANILHA
373404      ,0109      ,54,,FORA_DA_PLANILHA
373406      ,0109      ,54,,FORA_DA_PLANILHA
373407      ,0109      ,54,,FORA_DA_PLANILHA
373408      ,0109      ,54,,FORA_DA_PLANILHA
373409      ,0101      ,54,,FORA_DA_PLANILHA
373410      ,0101      ,54,,FORA_DA_PLANILHA
373420      ,0101      ,54,,FORA_DA_PLANILHA
373421      ,0101      ,54,,FORA_DA_PLANILHA
373422      ,0105      ,54,,FORA_DA_PLANILHA
373423      ,0105      ,54,,FORA_DA_PLANILHA
373443      ,0109      ,54,,FORA_DA_PLANILHA
373445      ,0003      ,54,,FORA_DA_PLANILHA
373449      ,0101      ,54,,FORA_DA_PLANILHA
373450      ,0101      ,54,,FORA_DA_PLANILHA
373451      ,0105      ,54,,FORA_DA_PLANILHA
373832      ,59581     ,54,,FORA_DA_PLANILHA
373833      ,59581     ,54,,FORA_DA_PLANILHA
373834      ,59581     ,54,,FORA_DA_PLANILHA
373857      ,0105      ,54,,FORA_DA_PLANILHA
373864      ,2276      ,54,,FORA_DA_PLANILHA
373867      ,59542     ,54,,FORA_DA_PLANILHA
373868      ,59542     ,54,,FORA_DA_PLANILHA
373869      ,59621     ,54,,FORA_DA_PLANILHA
373870      ,59621     ,54,,FORA_DA_PLANILHA
373871      ,59621     ,54,,FORA_DA_PLANILHA
373872      ,59621     ,54,,FORA_DA_PLANILHA
373874      ,59621     ,54,,FORA_DA_PLANILHA
373875      ,59621     ,54,,FORA_DA_PLANILHA
373942      ,0013      ,54,,FORA_DA_PLANILHA
373943      ,5336      ,54,,FORA_DA_PLANILHA
373944      ,2276      ,54,,FORA_DA_PLANILHA
373968      ,0013      ,54,,FORA_DA_PLANILHA
373969      ,0013      ,54,,FORA_DA_PLANILHA
373971      ,0013      ,54,,FORA_DA_PLANILHA
373971      ,05052     ,54,,FORA_DA_PLANILHA
373973      ,0013      ,54,,FORA_DA_PLANILHA
373973      ,07448     ,54,,FORA_DA_PLANILHA
373973      ,07742     ,54,,FORA_DA_PLANILHA
373973      ,09269     ,54,,FORA_DA_PLANILHA
373980      ,07448     ,54,,FORA_DA_PLANILHA
374090      ,2276      ,54,,FORA_DA_PLANILHA
374093      ,0026      ,54,,FORA_DA_PLANILHA
374096      ,0024      ,54,,FORA_DA_PLANILHA
374105      ,0024      ,54,,FORA_DA_PLANILHA
374112      ,0024      ,54,,FORA_DA_PLANILHA
374155      ,07742     ,54,,FORA_DA_PLANILHA
374156      ,07742     ,54,,FORA_DA_PLANILHA
374160      ,07448     ,54,,FORA_DA_PLANILHA
374179      ,07448     ,54,,FORA_DA_PLANILHA
374180      ,59581     ,54,,FORA_DA_PLANILHA
374187      ,59605     ,54,,FORA_DA_PLANILHA
374206      ,59486     ,54,,FORA_DA_PLANILHA
374210      ,59531     ,54,,FORA_DA_PLANILHA
374215      ,0101      ,54,,FORA_DA_PLANILHA
374231      ,0013      ,54,,FORA_DA_PLANILHA
374400      ,59477     ,54,,FORA_DA_PLANILHA
374421      ,59477     ,54,,FORA_DA_PLANILHA
374458      ,59530     ,54,,FORA_DA_PLANILHA
374459      ,59530     ,54,,FORA_DA_PLANILHA
374460      ,59530     ,54,,FORA_DA_PLANILHA
374461      ,59530     ,54,,FORA_DA_PLANILHA
374462      ,61664     ,54,,FORA_DA_PLANILHA
374465      ,61664     ,54,,FORA_DA_PLANILHA
374466      ,61664     ,54,,FORA_DA_PLANILHA
374486      ,59527     ,54,,FORA_DA_PLANILHA
374487      ,59527     ,54,,FORA_DA_PLANILHA
374488      ,59527     ,54,,FORA_DA_PLANILHA
374492      ,61663     ,54,,FORA_DA_PLANILHA
374493      ,61663     ,54,,FORA_DA_PLANILHA
374494      ,61663     ,54,,FORA_DA_PLANILHA
374495      ,61663     ,54,,FORA_DA_PLANILHA
374496      ,59473     ,54,,FORA_DA_PLANILHA
374503      ,59520     ,54,,FORA_DA_PLANILHA
374505      ,59520     ,54,,FORA_DA_PLANILHA
374682      ,61697     ,54,,FORA_DA_PLANILHA
