produto,cor,id_campanha,motivo
373094,59599,99,ERRO_INTEGRACAO
373096,59599,99,ERRO_INTEGRACAO
373098,59600,99,ERRO_INTEGRACAO
373099,59600,99,ERRO_INTEGRACAO
373108,59463,99,ERRO_INTEGRACAO
373109,59463,99,ERRO_INTEGRACAO
373110,59463,99,ERRO_INTEGRACAO
373111,59463,99,ERRO_INTEGRACAO
373113,59524,99,ERRO_INTEGRACAO
373114,59524,99,ERRO_INTEGRACAO
373116,59524,99,ERRO_INTEGRACAO
373117,59524,99,ERRO_INTEGRACAO
373142,59594,99,ERRO_INTEGRACAO
373170,59481,99,ERRO_INTEGRACAO
373184,05024,99,ERRO_INTEGRACAO
373184,07448,99,ERRO_INTEGRACAO
373199,07742,99,ERRO_INTEGRACAO
373202,05024,99,ERRO_INTEGRACAO
373203,2276,99,ERRO_INTEGRACAO
373206,0105,99,ERRO_INTEGRACAO
373207,0105,99,ERRO_INTEGRACAO
373218,2276,99,ERRO_INTEGRACAO
373236,2276,99,ERRO_INTEGRACAO
373279,02025,99,ERRO_INTEGRACAO
373279,07448,99,ERRO_INTEGRACAO
373281,05052,99,ERRO_INTEGRACAO
373281,07448,99,ERRO_INTEGRACAO
373285,59557,99,ERRO_INTEGRACAO
373286,07448,99,ERRO_INTEGRACAO
373288,07448,99,ERRO_INTEGRACAO
373291,07448,99,ERRO_INTEGRACAO
373311,07448,99,ERRO_INTEGRACAO
373311,11069,99,ERRO_INTEGRACAO
373312,07039,99,ERRO_INTEGRACAO
373312,07448,99,ERRO_INTEGRACAO
373312,07847,99,ERRO_INTEGRACAO
373314,07448,99,ERRO_INTEGRACAO
373315,04097,99,ERRO_INTEGRACAO
373404,0109,99,ERRO_INTEGRACAO
373406,0109,99,ERRO_INTEGRACAO
373407,0109,99,ERRO_INTEGRACAO
373408,0109,99,ERRO_INTEGRACAO
373409,0101,99,ERRO_INTEGRACAO
373410,0101,99,ERRO_INTEGRACAO
373420,0101,99,ERRO_INTEGRACAO
373421,0101,99,ERRO_INTEGRACAO
373423,0105,99,ERRO_INTEGRACAO
373443,0109,99,ERRO_INTEGRACAO
373445,0003,99,ERRO_INTEGRACAO
373449,0101,99,ERRO_INTEGRACAO
373450,0101,99,ERRO_INTEGRACAO
373451,0105,99,ERRO_INTEGRACAO
373839,59503,99,ERRO_INTEGRACAO
373840,59503,99,ERRO_INTEGRACAO
373841,59503,99,ERRO_INTEGRACAO
373852,05052,99,ERRO_INTEGRACAO
373857,0105,99,ERRO_INTEGRACAO
373942,0013,99,ERRO_INTEGRACAO
373943,07836,99,ERRO_INTEGRACAO
373943,11069,99,ERRO_INTEGRACAO
373943,5336,99,ERRO_INTEGRACAO
373944,2276,99,ERRO_INTEGRACAO
373968,0013,99,ERRO_INTEGRACAO
373973,0013,99,ERRO_INTEGRACAO
373982,59881,99,ERRO_INTEGRACAO
374039,07448,99,ERRO_INTEGRACAO
374064,59588,99,ERRO_INTEGRACAO
374065,59588,99,ERRO_INTEGRACAO
374066,59588,99,ERRO_INTEGRACAO
374088,07448,99,ERRO_INTEGRACAO
374090,2276,99,ERRO_INTEGRACAO
374093,0026,99,ERRO_INTEGRACAO
374096,0024,99,ERRO_INTEGRACAO
374105,0024,99,ERRO_INTEGRACAO
374157,07448,99,ERRO_INTEGRACAO
374159,07448,99,ERRO_INTEGRACAO
374191,59537,99,ERRO_INTEGRACAO
374202,59459,99,ERRO_INTEGRACAO
374208,59535,99,ERRO_INTEGRACAO
374214,59556,99,ERRO_INTEGRACAO
374215,0101,99,ERRO_INTEGRACAO
374231,0013,99,ERRO_INTEGRACAO
374233,51293,99,ERRO_INTEGRACAO
374469,59556,99,ERRO_INTEGRACAO
374471,59556,99,ERRO_INTEGRACAO
374497,59473,99,ERRO_INTEGRACAO
374498,59473,99,ERRO_INTEGRACAO
374499,59473,99,ERRO_INTEGRACAO
374502,59522,99,ERRO_INTEGRACAO
374504,59520,99,ERRO_INTEGRACAO
374535,59612,99,ERRO_INTEGRACAO
374536,59489,99,ERRO_INTEGRACAO
374537,59489,99,ERRO_INTEGRACAO
374720,59570,99,ERRO_INTEGRACAO
374758,59535,99,ERRO_INTEGRACAO
374759,59611,99,ERRO_INTEGRACAO
374830,61697,99,ERRO_INTEGRACAO
374833,61697,99,ERRO_INTEGRACAO
374850,59526,99,ERRO_INTEGRACAO
374864,59521,99,ERRO_INTEGRACAO
374908,59574,99,ERRO_INTEGRACAO
374910,59566,99,ERRO_INTEGRACAO
374918,59526,99,ERRO_INTEGRACAO
374919,59526,99,ERRO_INTEGRACAO
374931,59536,99,ERRO_INTEGRACAO
374934,59536,99,ERRO_INTEGRACAO
374952,59489,99,ERRO_INTEGRACAO
