ID_CAMPANHA,PRODUTO,COR_PRODUTO,status_pre,operacao,ESTOQUE,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,DT_EXCLUSAO,validacao_pos
54,372073      ,59557       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372087      ,59557       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372093      ,59481       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372094      ,59481       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372096      ,59593       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372097      ,59591       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372098      ,59593       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372099      ,59593       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372104      ,59548       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372249      ,59474       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372250      ,59481       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372251      ,59481       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372256      ,59670       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372279      ,59473       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372280      ,59476       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372287      ,59498       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372302      ,59709       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372307      ,59498       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372308      ,59721       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372309      ,59721       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372368      ,59548       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372370      ,59547       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372373      ,59498       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372374      ,59576       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372397      ,59574       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372429      ,59591       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372430      ,59537       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372431      ,59548       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372432      ,59548       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372433      ,59547       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372438      ,59516       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372439      ,59498       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372440      ,59498       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372441      ,59498       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372442      ,59498       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372446      ,59534       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372447      ,59560       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372451      ,59535       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372471      ,59533       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372472      ,59533       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
